fsa,probable,vulnerable,is_most_recent,fever_chills_shakes,cough,shortness_of_breath,any_medical_conditions,travel_outside_canada,contact_with_illness,symptoms,conditions,needs
K0A,0.006896551724137931,0.3724137931034483,0.8137931034482758,0.013793103448275862,0.013793103448275862,0.013793103448275862,1.0,0.0,0.006896551724137931,,,
K0B,0.041666666666666664,0.875,0.5416666666666666,0.125,0.041666666666666664,0.041666666666666664,1.0,0.041666666666666664,0.041666666666666664,,,
K0C,0.04477611940298507,0.47761194029850745,0.6417910447761194,0.04477611940298507,0.05970149253731343,0.0,1.0,0.0,0.0,,,
K0E,0.04081632653061224,0.2857142857142857,0.7346938775510204,0.061224489795918366,0.0,0.061224489795918366,1.0,0.0,0.0,,,
K0G,0.013513513513513514,0.527027027027027,0.6621621621621622,0.0,0.0,0.0,1.0,0.013513513513513514,0.013513513513513514,,,
K0H,0.0,0.6037735849056604,0.6792452830188679,0.0,0.018867924528301886,0.0,1.0,0.03773584905660377,0.0,,,
K0J,0.0,0.48484848484848486,0.8484848484848485,0.0,0.0,0.0,1.0,0.0,0.0,,,
K0K,0.04794520547945205,0.4452054794520548,0.7054794520547946,0.02054794520547945,0.00684931506849315,0.0136986301369863,1.0,0.0,0.0410958904109589,,,
K0L,0.01020408163265306,0.45918367346938777,0.7244897959183674,0.05102040816326531,0.04081632653061224,0.02040816326530612,1.0,0.01020408163265306,0.01020408163265306,,,
K0M,0.0,0.5283018867924528,0.6981132075471698,0.0,0.0,0.05660377358490566,1.0,0.0,0.0,,,
K1C,0.02127659574468085,0.3617021276595745,0.8085106382978723,0.02127659574468085,0.0,0.02127659574468085,1.0,0.0,0.02127659574468085,,,
K1G,0.022727272727272728,0.3181818181818182,0.9090909090909091,0.0,0.045454545454545456,0.045454545454545456,1.0,0.022727272727272728,0.022727272727272728,,,
K1J,0.0,0.4473684210526316,0.9736842105263158,0.0,0.0,0.02631578947368421,1.0,0.02631578947368421,0.0,,,
K1K,0.0,0.275,0.875,0.0,0.025,0.0,1.0,0.0,0.0,,,
K1N,0.022222222222222223,0.35555555555555557,0.7555555555555555,0.0,0.0,0.022222222222222223,1.0,0.0,0.022222222222222223,,,
K1R,0.022727272727272728,0.25,0.75,0.0,0.045454545454545456,0.045454545454545456,1.0,0.0,0.022727272727272728,,,
K1S,0.01639344262295082,0.4262295081967213,0.8360655737704918,0.0,0.03278688524590164,0.0,1.0,0.0,0.01639344262295082,,,
K1T,0.03571428571428571,0.25,0.5535714285714286,0.0,0.05357142857142857,0.0,1.0,0.0,0.03571428571428571,,,
K1V,0.03571428571428571,0.30357142857142855,0.8392857142857143,0.03571428571428571,0.017857142857142856,0.017857142857142856,1.0,0.0,0.03571428571428571,,,
K1Y,0.0,0.49122807017543857,0.7192982456140351,0.0,0.0,0.0,1.0,0.0,0.0,,,
K1Z,0.0,0.125,0.775,0.025,0.0,0.0,1.0,0.0,0.0,,,
K2B,0.020833333333333332,0.2708333333333333,0.8125,0.020833333333333332,0.0,0.0,1.0,0.0,0.020833333333333332,,,
K2C,0.0,0.13513513513513514,0.7837837837837838,0.02702702702702703,0.0,0.0,1.0,0.0,0.0,,,
K2E,0.043478260869565216,0.5217391304347826,0.6956521739130435,0.0,0.0,0.0,1.0,0.0,0.043478260869565216,,,
K2G,0.010752688172043012,0.3655913978494624,0.7204301075268817,0.010752688172043012,0.021505376344086023,0.010752688172043012,1.0,0.0,0.010752688172043012,,,
K2H,0.0,0.25925925925925924,0.8148148148148148,0.037037037037037035,0.037037037037037035,0.0,1.0,0.0,0.0,,,
K2J,0.023076923076923078,0.3769230769230769,0.7769230769230769,0.015384615384615385,0.015384615384615385,0.03076923076923077,1.0,0.0,0.023076923076923078,,,
K2K,0.014705882352941176,0.3235294117647059,0.7205882352941176,0.007352941176470588,0.029411764705882353,0.0,1.0,0.0,0.014705882352941176,,,
K2L,0.0,0.29411764705882354,0.7941176470588235,0.0,0.0,0.0,1.0,0.0,0.0,,,
K2M,0.0,0.29850746268656714,0.7910447761194029,0.014925373134328358,0.0,0.014925373134328358,1.0,0.0,0.0,,,
K2P,0.02,0.16,0.8,0.02,0.12,0.06,1.0,0.02,0.0,,,
K2S,0.0,0.25675675675675674,0.8648648648648649,0.0,0.0,0.0,1.0,0.0,0.0,,,
K4A,0.0,0.3333333333333333,0.7444444444444445,0.0,0.03333333333333333,0.0,1.0,0.0,0.0,,,
K6H,0.0,0.4230769230769231,0.5769230769230769,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,,,
K6V,0.0,0.4074074074074074,0.7777777777777778,0.037037037037037035,0.037037037037037035,0.0,1.0,0.0,0.0,,,
K7K,0.0,0.24242424242424243,0.8787878787878788,0.0,0.0,0.030303030303030304,1.0,0.0,0.0,,,
K7L,0.0,0.15151515151515152,0.6060606060606061,0.0,0.0,0.0,1.0,0.0,0.0,,,
K7M,0.020833333333333332,0.3125,0.7916666666666666,0.0,0.020833333333333332,0.0,1.0,0.0,0.020833333333333332,,,
K7P,0.0,0.2903225806451613,0.7741935483870968,0.0,0.06451612903225806,0.0,1.0,0.0,0.0,,,
K8A,0.08,0.44,0.84,0.12,0.08,0.12,1.0,0.0,0.0,,,
K8N,0.0,0.3488372093023256,0.7674418604651163,0.0,0.0,0.0,1.0,0.0,0.0,,,
K8P,0.06666666666666667,0.3333333333333333,0.9333333333333333,0.0,0.13333333333333333,0.06666666666666667,1.0,0.0,0.06666666666666667,,,
K8V,0.02857142857142857,0.4857142857142857,0.6571428571428571,0.02857142857142857,0.0,0.02857142857142857,1.0,0.02857142857142857,0.02857142857142857,,,
K9A,0.0,0.3939393939393939,0.7878787878787878,0.0,0.0,0.030303030303030304,1.0,0.0,0.0,,,
K9H,0.0,0.34615384615384615,0.8076923076923077,0.11538461538461539,0.11538461538461539,0.0,1.0,0.0,0.0,,,
K9J,0.04,0.32,0.88,0.0,0.0,0.0,1.0,0.0,0.04,,,
K9V,0.0,0.5882352941176471,0.9411764705882353,0.11764705882352941,0.0,0.0,1.0,0.0,0.0,,,
L0E,0.0,0.34210526315789475,0.6578947368421053,0.0,0.0,0.0,1.0,0.0,0.0,,,
L0G,0.013157894736842105,0.32894736842105265,0.7236842105263158,0.02631578947368421,0.013157894736842105,0.02631578947368421,1.0,0.0,0.0,,,
L0K,0.0,0.42592592592592593,0.6666666666666666,0.018518518518518517,0.037037037037037035,0.0,1.0,0.0,0.0,,,
L0L,0.0,0.2558139534883721,0.9302325581395349,0.0,0.023255813953488372,0.0,1.0,0.0,0.0,,,
L0M,0.0,0.34146341463414637,0.7804878048780488,0.0,0.0,0.0,1.0,0.0,0.0,,,
L0R,0.0,0.20689655172413793,0.7241379310344828,0.0,0.0,0.02586206896551724,1.0,0.0,0.0,,,
L0S,0.05555555555555555,0.37037037037037035,0.75,0.0,0.05555555555555555,0.046296296296296294,1.0,0.009259259259259259,0.05555555555555555,,,
L1C,0.017543859649122806,0.43859649122807015,0.7894736842105263,0.03508771929824561,0.03508771929824561,0.017543859649122806,1.0,0.0,0.0,,,
L1E,0.0,0.08,0.84,0.0,0.04,0.0,1.0,0.0,0.0,,,
L1G,0.0,0.32727272727272727,0.7454545454545455,0.0,0.0,0.0,1.0,0.0,0.0,,,
L1H,0.06666666666666667,0.3333333333333333,0.7,0.1,0.16666666666666666,0.0,1.0,0.0,0.06666666666666667,,,
L1J,0.09375,0.25,0.84375,0.0,0.03125,0.0,1.0,0.0,0.09375,,,
L1K,0.0,0.21052631578947367,0.8421052631578947,0.0,0.0,0.0,1.0,0.0,0.0,,,
L1M,0.0,0.3333333333333333,0.8148148148148148,0.07407407407407407,0.0,0.0,1.0,0.0,0.0,,,
L1N,0.0,0.2894736842105263,0.75,0.0,0.0,0.0,1.0,0.0,0.0,,,
L1R,0.02564102564102564,0.20512820512820512,0.9230769230769231,0.02564102564102564,0.05128205128205128,0.02564102564102564,1.0,0.0,0.0,,,
L1S,0.0,0.39473684210526316,0.8157894736842105,0.02631578947368421,0.02631578947368421,0.02631578947368421,1.0,0.0,0.0,,,
L1T,0.02631578947368421,0.15789473684210525,0.7894736842105263,0.0,0.02631578947368421,0.0,1.0,0.0,0.02631578947368421,,,
L1V,0.014492753623188406,0.2898550724637681,0.8260869565217391,0.014492753623188406,0.0,0.0,1.0,0.0,0.014492753623188406,,,
L1X,0.0,0.1875,0.9375,0.0,0.0,0.0,1.0,0.0,0.0,,,
L1Z,0.02631578947368421,0.07894736842105263,0.6052631578947368,0.0,0.0,0.0,1.0,0.02631578947368421,0.02631578947368421,,,
L2G,0.0,0.4,0.7,0.0,0.05,0.0,1.0,0.0,0.0,,,
L2H,0.0,0.15789473684210525,0.7894736842105263,0.0,0.0,0.0,1.0,0.05263157894736842,0.0,,,
L2M,0.0,0.5,0.631578947368421,0.0,0.0,0.0,1.0,0.0,0.0,,,
L2N,0.041666666666666664,0.375,0.7708333333333334,0.041666666666666664,0.0,0.041666666666666664,1.0,0.041666666666666664,0.0,,,
L2R,0.037037037037037035,0.3333333333333333,0.7777777777777778,0.0,0.0,0.0,1.0,0.0,0.037037037037037035,,,
L3B,0.18181818181818182,0.7272727272727273,0.8181818181818182,0.0,0.09090909090909091,0.0,1.0,0.0,0.18181818181818182,,,
L3C,0.05,0.35,0.775,0.05,0.075,0.025,1.0,0.0,0.05,,,
L3M,0.0,0.2564102564102564,0.8205128205128205,0.0,0.02564102564102564,0.0,1.0,0.0,0.0,,,
L3P,0.0,0.3958333333333333,0.6666666666666666,0.020833333333333332,0.020833333333333332,0.0,1.0,0.0,0.0,,,
L3R,0.0,0.43661971830985913,0.7605633802816901,0.0,0.014084507042253521,0.0,1.0,0.0,0.0,,,
L3S,0.0,0.25,0.9444444444444444,0.027777777777777776,0.0,0.027777777777777776,1.0,0.0,0.0,,,
L3T,0.0,0.4520547945205479,0.7534246575342466,0.0,0.0,0.0136986301369863,1.0,0.0,0.0,,,
L3V,0.027777777777777776,0.4444444444444444,0.8611111111111112,0.0,0.0,0.027777777777777776,1.0,0.0,0.027777777777777776,,,
L3X,0.0,0.29545454545454547,0.7954545454545454,0.0,0.0,0.0,1.0,0.022727272727272728,0.0,,,
L3Y,0.0,0.325,0.825,0.025,0.0,0.025,1.0,0.0,0.0,,,
L3Z,0.02702702702702703,0.21621621621621623,0.918918918918919,0.0,0.02702702702702703,0.02702702702702703,1.0,0.0,0.02702702702702703,,,
L4A,0.0,0.25,0.796875,0.0,0.03125,0.0,1.0,0.0,0.0,,,
L4B,0.03225806451612903,0.22580645161290322,0.9032258064516129,0.0,0.0,0.0,1.0,0.0,0.03225806451612903,,,
L4C,0.022727272727272728,0.2840909090909091,0.8068181818181818,0.0,0.011363636363636364,0.0,1.0,0.0,0.022727272727272728,,,
L4E,0.0136986301369863,0.3287671232876712,0.6575342465753424,0.0136986301369863,0.0,0.0,1.0,0.0,0.0136986301369863,,,
L4G,0.014925373134328358,0.373134328358209,0.8208955223880597,0.0,0.014925373134328358,0.0,1.0,0.0,0.014925373134328358,,,
L4H,0.05405405405405406,0.16216216216216217,0.7702702702702703,0.05405405405405406,0.04054054054054054,0.04054054054054054,1.0,0.0,0.02702702702702703,,,
L4J,0.0380952380952381,0.19047619047619047,0.8095238095238095,0.01904761904761905,0.02857142857142857,0.02857142857142857,1.0,0.0,0.0380952380952381,,,
L4L,0.0,0.2037037037037037,0.8333333333333334,0.0,0.0,0.018518518518518517,1.0,0.0,0.0,,,
L4M,0.0,0.3269230769230769,0.7692307692307693,0.0,0.0,0.019230769230769232,1.0,0.0,0.0,,,
L4N,0.0,0.29591836734693877,0.826530612244898,0.01020408163265306,0.030612244897959183,0.0,1.0,0.0,0.0,,,
L4P,0.0,0.4,0.7,0.0,0.1,0.0,1.0,0.0,0.0,,,
L4S,0.0,0.3888888888888889,0.8888888888888888,0.0,0.0,0.1111111111111111,1.0,0.0,0.0,,,
L4T,0.0,0.14285714285714285,0.6071428571428571,0.07142857142857142,0.0,0.0,1.0,0.0,0.0,,,
L4W,0.0,0.3103448275862069,0.8620689655172413,0.0,0.0,0.0,1.0,0.0,0.0,,,
L4X,0.05555555555555555,0.3333333333333333,0.8333333333333334,0.0,0.05555555555555555,0.0,1.0,0.0,0.05555555555555555,,,
L4Y,0.0,0.14285714285714285,0.9047619047619048,0.0,0.0,0.0,1.0,0.0,0.0,,,
L4Z,0.0,0.3684210526315789,0.8157894736842105,0.02631578947368421,0.05263157894736842,0.02631578947368421,1.0,0.0,0.0,,,
L5A,0.02127659574468085,0.23404255319148937,0.7446808510638298,0.02127659574468085,0.06382978723404255,0.10638297872340426,1.0,0.0,0.0,,,
L5B,0.043478260869565216,0.08695652173913043,0.7681159420289855,0.057971014492753624,0.014492753623188406,0.028985507246376812,1.0,0.014492753623188406,0.028985507246376812,,,
L5C,0.0,0.29545454545454547,0.8181818181818182,0.022727272727272728,0.06818181818181818,0.022727272727272728,1.0,0.0,0.0,,,
L5G,0.017857142857142856,0.30357142857142855,0.8035714285714286,0.017857142857142856,0.017857142857142856,0.017857142857142856,1.0,0.0,0.017857142857142856,,,
L5J,0.0,0.22033898305084745,0.864406779661017,0.0,0.03389830508474576,0.0,1.0,0.0,0.0,,,
L5L,0.0,0.35714285714285715,0.8095238095238095,0.023809523809523808,0.023809523809523808,0.0,1.0,0.0,0.0,,,
L5M,0.033783783783783786,0.27702702702702703,0.8243243243243243,0.033783783783783786,0.033783783783783786,0.033783783783783786,1.0,0.02702702702702703,0.033783783783783786,,,
L5N,0.0,0.33613445378151263,0.7478991596638656,0.008403361344537815,0.008403361344537815,0.008403361344537815,1.0,0.0,0.0,,,
L5R,0.027777777777777776,0.1388888888888889,0.8333333333333334,0.027777777777777776,0.0,0.027777777777777776,1.0,0.0,0.0,,,
L5V,0.043478260869565216,0.34782608695652173,0.8695652173913043,0.0,0.043478260869565216,0.0,1.0,0.043478260869565216,0.043478260869565216,,,
L5W,0.0,0.2916666666666667,0.9166666666666666,0.0,0.0,0.0,1.0,0.0,0.0,,,
L6A,0.0,0.18181818181818182,0.8441558441558441,0.0,0.0,0.0,1.0,0.0,0.0,,,
L6B,0.0,0.17647058823529413,0.8235294117647058,0.029411764705882353,0.0,0.0,1.0,0.0,0.0,,,
L6C,0.0,0.10869565217391304,0.782608695652174,0.0,0.021739130434782608,0.021739130434782608,1.0,0.0,0.0,,,
L6E,0.0,0.2916666666666667,0.7916666666666666,0.0,0.0,0.0,1.0,0.0,0.0,,,
L6H,0.01904761904761905,0.2761904761904762,0.8380952380952381,0.01904761904761905,0.01904761904761905,0.01904761904761905,1.0,0.009523809523809525,0.009523809523809525,,,
L6J,0.0,0.40540540540540543,0.8648648648648649,0.0,0.0,0.02702702702702703,1.0,0.0,0.0,,,
L6L,0.0,0.2708333333333333,0.8333333333333334,0.0,0.041666666666666664,0.0,1.0,0.0,0.0,,,
L6M,0.017857142857142856,0.25892857142857145,0.8303571428571429,0.017857142857142856,0.017857142857142856,0.017857142857142856,1.0,0.0,0.0,,,
L6P,0.07142857142857142,0.2857142857142857,0.8571428571428571,0.07142857142857142,0.023809523809523808,0.0,1.0,0.0,0.07142857142857142,,,
L6R,0.025,0.3,0.875,0.1,0.05,0.0,1.0,0.0,0.025,,,
L6S,0.0,0.28888888888888886,0.8666666666666667,0.0,0.022222222222222223,0.022222222222222223,1.0,0.0,0.0,,,
L6T,0.0,0.3333333333333333,0.7333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,,,
L6V,0.0,0.25,0.875,0.0,0.125,0.0625,1.0,0.0,0.0,,,
L6W,0.0,0.38461538461538464,0.8076923076923077,0.038461538461538464,0.0,0.0,1.0,0.0,0.0,,,
L6X,0.0,0.12195121951219512,0.9024390243902439,0.024390243902439025,0.0,0.0,1.0,0.0,0.0,,,
L6Y,0.0,0.19402985074626866,0.7910447761194029,0.0,0.0,0.029850746268656716,1.0,0.0,0.0,,,
L6Z,0.03333333333333333,0.26666666666666666,0.6333333333333333,0.03333333333333333,0.0,0.0,1.0,0.0,0.03333333333333333,,,
L7A,0.014084507042253521,0.23943661971830985,0.7746478873239436,0.028169014084507043,0.014084507042253521,0.028169014084507043,1.0,0.0,0.0,,,
L7C,0.0,0.25,0.8214285714285714,0.0,0.03571428571428571,0.03571428571428571,1.0,0.0,0.0,,,
L7E,0.0,0.20930232558139536,0.8604651162790697,0.0,0.0,0.0,1.0,0.0,0.0,,,
L7G,0.011494252873563218,0.3218390804597701,0.7241379310344828,0.0,0.011494252873563218,0.022988505747126436,1.0,0.0,0.011494252873563218,,,
L7L,0.057971014492753624,0.2753623188405797,0.8985507246376812,0.014492753623188406,0.043478260869565216,0.0,1.0,0.014492753623188406,0.043478260869565216,,,
L7M,0.029411764705882353,0.23529411764705882,0.8676470588235294,0.029411764705882353,0.08823529411764706,0.04411764705882353,1.0,0.0,0.029411764705882353,,,
L7P,0.0,0.4358974358974359,0.8717948717948718,0.0,0.0,0.0,1.0,0.0,0.0,,,
L8B,0.0,0.3333333333333333,0.7948717948717948,0.0,0.02564102564102564,0.02564102564102564,1.0,0.0,0.0,,,
L8E,0.017857142857142856,0.26785714285714285,0.7142857142857143,0.0,0.0,0.03571428571428571,1.0,0.0,0.017857142857142856,,,
L8G,0.0,0.15384615384615385,0.5769230769230769,0.0,0.0,0.0,1.0,0.0,0.0,,,
L8H,0.0,0.42105263157894735,0.7894736842105263,0.0,0.0,0.05263157894736842,1.0,0.0,0.0,,,
L8J,0.0,0.5,0.78125,0.03125,0.03125,0.0,1.0,0.0,0.0,,,
L8K,0.0,0.12121212121212122,0.7878787878787878,0.0,0.06060606060606061,0.0,1.0,0.0,0.0,,,
L8L,0.0,0.3333333333333333,0.75,0.0,0.0,0.0,1.0,0.0,0.0,,,
L8P,0.0,0.32,0.84,0.04,0.0,0.0,1.0,0.0,0.0,,,
L8T,0.0,0.375,0.875,0.0,0.0,0.0,1.0,0.0,0.0,,,
L8V,0.0,0.21428571428571427,1.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,,,
L8W,0.0,0.2727272727272727,0.8636363636363636,0.09090909090909091,0.0,0.0,1.0,0.0,0.0,,,
L9A,0.0,0.2857142857142857,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,
L9B,0.0,0.3333333333333333,0.8571428571428571,0.047619047619047616,0.047619047619047616,0.0,1.0,0.0,0.0,,,
L9C,0.0,0.24242424242424243,0.9090909090909091,0.0,0.0,0.0,1.0,0.0,0.0,,,
L9G,0.0,0.4791666666666667,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,,,
